idx,street,postcode,housenumber,lon,lat
52473,Ved Volden,1425,1,12.5938687,55.6713782
52474,Ved Volden,1425,2,12.593675,55.671478
52475,Ved Volden,1425,3,12.593492,55.67157
52476,Ved Volden,1425,4,12.59349,55.671683
52477,Ved Volden,1425,5,12.593629,55.671769
52478,Ved Volden,1425,6,12.593782,55.671858
52479,Ved Volden,1425,7,12.593924,55.671942
52480,Ved Volden,1425,8,12.594053,55.67202
52481,Ved Volden,1425,9,12.594456,55.672052
52482,Ved Volden,1425,10,12.59465,55.671953
52483,Ved Volden,1425,11,12.59485,55.671847
52484,Ved Volden,1425,12,12.595035,55.67174
52485,Ved Volden,1425,13,12.595235,55.671635
