idx,street,postcode,housenumber,lon,lat
42597,Sigerstedgade,1729,1,12.5490437,55.6649325
42598,Sigerstedgade,1729,2,12.548755,55.664793
42599,Sigerstedgade,1729,3,12.549196,55.664824
42600,Sigerstedgade,1729,4,12.548864,55.664644
42601,Sigerstedgade,1729,5,12.549307,55.664714
42602,Sigerstedgade,1729,6,12.548963,55.664535
42603,Sigerstedgade,1729,7,12.549395,55.664611
42604,Sigerstedgade,1729,8,12.549062,55.664431
42605,Sigerstedgade,1729,9,12.5495,55.664508
42606,Sigerstedgade,1729,10,12.549176,55.664315
42607,Sigerstedgade,1729,15,12.549671,55.664308
