idx,street,postcode,housenumber,lon,lat
73,Dagmarsgade,6760,16,8.7702374,55.3275747
835958,Seminarievej,6760,1,8.768608,55.331363
835959,Seminarievej,6760,1A,8.768981,55.331356
835960,Seminarievej,6760,3,8.7696965,55.3313433
835961,Seminarievej,6760,4,8.7688104,55.3311164
835962,Seminarievej,6760,5,8.7701553,55.3312738
835963,Seminarievej,6760,6A,8.7690594,55.3311009
835964,Seminarievej,6760,6B,8.7693514,55.3310813
835965,Seminarievej,6760,8,8.769593,55.3310625
835966,Seminarievej,6760,9,8.7714357,55.3311901
835967,Seminarievej,6760,10,8.7697604,55.3310518
835968,Seminarievej,6760,12A,8.7699246,55.3309433
835969,Seminarievej,6760,12B,8.7699618,55.3310336
835970,Seminarievej,6760,13A,8.7725953,55.3310997
835971,Seminarievej,6760,13B,8.772861,55.331183
835972,Seminarievej,6760,14,8.7710999,55.3309331
835973,Seminarievej,6760,15,8.7759874,55.3311296
835974,Seminarievej,6760,16,8.7713235,55.3309493
835975,Seminarievej,6760,16B,8.7722688,55.3307419
835976,Seminarievej,6760,18,8.7728446,55.3308167
835977,Seminarievej,6760,18A,8.7734733,55.3307504
835978,Seminarievej,6760,18B,8.7736614,55.3307376
835979,Seminarievej,6760,18C,8.773759,55.3305781
835980,Seminarievej,6760,20,8.773922,55.3306976
835981,Seminarievej,6760,21,8.7788317,55.330481
835982,Seminarievej,6760,22,8.7741531,55.3306722
835983,Seminarievej,6760,23,8.7792355,55.330389
835984,Seminarievej,6760,23B,8.7789243,55.3308059
835985,Seminarievej,6760,23C,8.7791702,55.3312073
835986,Seminarievej,6760,24,8.774508,55.330645
835987,Seminarievej,6760,25,8.7799283,55.3307942
835988,Seminarievej,6760,26,8.7748887,55.3305899
835989,Seminarievej,6760,27,8.7796885,55.3303512
835990,Seminarievej,6760,28,8.7758765,55.3304711
835991,Seminarievej,6760,29,8.7799198,55.3303229
835992,Seminarievej,6760,30,8.7761222,55.3304564
835993,Seminarievej,6760,31,8.7801748,55.3302927
835994,Seminarievej,6760,32,8.7763142,55.3304478
835995,Seminarievej,6760,33,8.7804061,55.330265
835996,Seminarievej,6760,34,8.776441,55.33044
835997,Seminarievej,6760,35,8.7806408,55.330241
835998,Seminarievej,6760,36,8.7765759,55.3304307
835999,Seminarievej,6760,37,8.780914,55.330203
836000,Seminarievej,6760,38,8.7767156,55.3304221
836001,Seminarievej,6760,39,8.7812569,55.3301598
836002,Seminarievej,6760,40,8.7768212,55.3304162
836003,Seminarievej,6760,41,8.7815138,55.3301328
