idx,street,postcode,housenumber,lon,lat
1485558,Tøndervej,6280,1,8.7045,54.9631343
1485559,Tøndervej,6280,2,8.7038951,54.9625666
1485560,Tøndervej,6280,3,8.7054539,54.9629748
1485561,Tøndervej,6280,4,8.704239,54.962568
1485562,Tøndervej,6280,5,8.7091856,54.9631276
1485564,Tøndervej,6280,6,8.70466,54.96256
1485567,Tøndervej,6280,7,8.7296613,54.9631299
1485568,Tøndervej,6280,8,8.7049882,54.9625873
1485569,Tøndervej,6280,10,8.7053942,54.9625883
1485571,Tøndervej,6280,11,8.7326917,54.9630737
1485573,Tøndervej,6280,12,8.7057534,54.9625981
1485575,Tøndervej,6280,13,8.7489352,54.9630184
1485577,Tøndervej,6280,14,8.706253,54.9626263
1485580,Tøndervej,6280,15,8.7710854,54.9569334
1485582,Tøndervej,6280,17,8.7733981,54.9566591
1534993,Stampemøllevej,6280,1,8.6642637,54.9878596
1534994,Stampemøllevej,6280,2,8.6604515,55.0043931
1534995,Stampemøllevej,6280,3,8.6637794,54.9878403
1534996,Stampemøllevej,6280,4,8.6587669,55.0168257
1534997,Stampemøllevej,6280,5,8.6646214,54.9880673
1534998,Stampemøllevej,6280,7,8.6643998,54.9884081
1534999,Stampemøllevej,6280,9,8.6642568,54.9886863
1535000,Stampemøllevej,6280,11A,8.6642068,54.9890546
1535001,Stampemøllevej,6280,11B,8.658714,55.000902
1535002,Stampemøllevej,6280,13,8.6573622,55.014665
1535003,Rudbølkogvej,6280,1,8.747701,54.9057266
1535004,Rudbølkogvej,6280,2,8.7368906,54.9012823
1535005,Nygade,6280,1,8.69335,54.9649759
1535006,Nygade,6280,2,8.6936937,54.9649677
1535007,Nygade,6280,3A,8.6936579,54.9655697
1535008,Nygade,6280,5,8.693704,54.9656687
1535009,Sønderhedevej,6280,1,8.7725004,54.9690588
1535010,Sønderhedevej,6280,2,8.7726125,54.9685648
1535011,Sønderhedevej,6280,3,8.7735476,54.9689529
1535012,Sønderhedevej,6280,4,8.7733777,54.9686111
1535013,Sønderhedevej,6280,5,8.7743284,54.9689903
1535014,Sønderhedevej,6280,6,8.7737848,54.9684411
1535015,Sønderhedevej,6280,7,8.7752663,54.9688752
1535016,Sønderhedevej,6280,8,8.7772705,54.9680072
1535017,Sønderhedevej,6280,9,8.7764854,54.9687427
1535018,Sønderhedevej,6280,10,8.7836672,54.966518
1535019,Sønderhedevej,6280,11,8.7769542,54.9687166
1535020,Sønderhedevej,6280,13,8.7830533,54.9673976
1535021,Sønderhedevej,6280,15,8.7927335,54.9651948
1535022,Sønderhedevej,6280,17,8.7950783,54.9648124
1535023,Sønderhedevej,6280,19,8.7960475,54.9646433
1535024,Toldgade,6280,1,8.6940362,54.9651214
1535025,Toldgade,6280,2,8.6940817,54.9653012
1535026,Toldgade,6280,3,8.6938798,54.9651479
1535027,Toldgade,6280,4,8.6942057,54.9654184
1535028,Toldgade,6280,5,8.6934261,54.9652367
1535029,Toldgade,6280,6,8.6938006,54.9652825
1535030,Toldgade,6280,8,8.693441,54.965354
1535031,Tværmarksvej,6280,2,8.7032894,54.9620979
1535032,Tværmarksvej,6280,2B,8.7032571,54.9622416
1535033,Stationsvej,6280,1,8.7538084,54.9578522
1535034,Stationsvej,6280,4,8.7514485,54.9581529
1535035,Kirkegårdsgade,6280,1,8.6981114,54.9632264
1535036,Kirkegårdsgade,6280,3,8.6981921,54.9628761
1535037,Kirkegårdsgade,6280,5,8.6977892,54.9624528
1535038,Margrethevej,6280,1,8.6919683,54.963876
1535039,Margrethevej,6280,3,8.6920759,54.9641099
1535040,Margrethevej,6280,5,8.6922928,54.9643352
1535041,Torvegade,6280,1,8.6969086,54.9632414
1535042,Torvegade,6280,3,8.6969545,54.9633673
1535043,Højer Dige,6280,1,8.7026308,54.9561112
1535044,Højer Dige,6280,2,8.6988684,54.958061
1535045,Højer Dige,6280,3,8.7153673,54.9370633
1535048,Kannikhusvej,6280,3,8.7101536,54.9458129
1535051,Kannikhusvej,6280,8,8.7470413,54.9462547
1535052,Kannikhusvej,6280,10,8.7394246,54.945969
1535053,Kannikhusvej,6280,12,8.7280654,54.9450455
1535054,Kannikhusvej,6280,14,8.7282916,54.9439226
1535055,Banegårdsgade,6280,1,8.6988306,54.9610355
1535056,Banegårdsgade,6280,2,8.6996232,54.9615587
1535057,Banegårdsgade,6280,4,8.6996081,54.9614867
1535058,Banegårdsgade,6280,6,8.699593,54.9614148
1535059,Banegårdsgade,6280,8,8.697854,54.961445
