idx,street,postcode,housenumber,lon,lat
61894,Jakob Dannefærds Vej,1973,1,12.554815,55.683942
61895,Jakob Dannefærds Vej,1973,2,12.554595,55.684155
61896,Jakob Dannefærds Vej,1973,3,12.554403,55.683663
61897,Jakob Dannefærds Vej,1973,5,12.554235,55.683545
61898,Jakob Dannefærds Vej,1973,6A,12.554063,55.683798
61899,Jakob Dannefærds Vej,1973,6B,12.55382,55.684006
61900,Jakob Dannefærds Vej,1973,7,12.5540732,55.6834373
61901,Jakob Dannefærds Vej,1973,8,12.5538838,55.6836788
61902,Jakob Dannefærds Vej,1973,9,12.553914,55.68333
61903,Jakob Dannefærds Vej,1973,10A,12.553682,55.683538
61904,Jakob Dannefærds Vej,1973,10B,12.553564,55.68346
61905,Jakob Dannefærds Vej,1973,11,12.553751,55.683221
61906,Jakob Dannefærds Vej,1973,12,12.553256,55.683253
61907,Jakob Dannefærds Vej,1973,12A,12.553414,55.683361
61908,Jakob Dannefærds Vej,1973,13,12.5536,55.683119
61909,Jakob Dannefærds Vej,1973,14,12.552967,55.683294
61910,Jakob Dannefærds Vej,1973,15,12.553477,55.683027
61911,Jakob Dannefærds Vej,1973,19,12.55288,55.683054
812338,Jakob Dannefærds Vej,1973,4,12.55445,55.684058
812339,Jakob Dannefærds Vej,1973,4A,12.554296,55.683956
2223224,Jakob Dannefærds Vej,1973,17,12.553291,55.682944
2245345,Jakob Dannefærds Vej,1973,1A,12.554785,55.683773
