idx,street,postcode,housenumber,lon,lat
788432,Hovedvejen,6780,8,8.72742,55.19571
910262,Jægertoften,6780,1,8.7497768,55.1515721
910263,Jægertoften,6780,2,8.7503734,55.1515104
910264,Jægertoften,6780,4,8.7505775,55.1514929
910265,Jægertoften,6780,5,8.749349,55.151629
910266,Jægertoften,6780,6,8.750876,55.1514396
910267,Jægertoften,6780,7,8.7498689,55.1518868
910268,Jægertoften,6780,8,8.7511115,55.1514221
910269,Jægertoften,6780,9,8.7499772,55.1521386
910270,Jægertoften,6780,10,8.7512206,55.1515481
910271,Jægertoften,6780,12,8.7512355,55.151665
910272,Jægertoften,6780,14,8.751203,55.1518446
910273,Jægertoften,6780,15,8.7501009,55.1524265
910274,Jægertoften,6780,16,8.7509831,55.1518801
910275,Jægertoften,6780,18,8.7507319,55.1519066
910276,Jægertoften,6780,20,8.750512,55.151915
910277,Jægertoften,6780,22,8.750419,55.151735
910278,Jægertoften,6780,24,8.7506234,55.1516907
910279,Jægertoften,6780,26,8.7506519,55.152149
910280,Jægertoften,6780,28,8.751123,55.152159
910281,Jægertoften,6780,30,8.751531,55.152034
910282,Jægertoften,6780,32,8.751987,55.151963
910283,Jægertoften,6780,36,8.752456,55.15227
910284,Jægertoften,6780,38,8.752047,55.152341
910285,Jægertoften,6780,40,8.751639,55.152394
910286,Jægertoften,6780,44,8.750775,55.1525
910287,Bjergtoften,6780,2,8.7473428,55.1518367
910288,Bjergtoften,6780,3,8.7461962,55.152014
910289,Bjergtoften,6780,4,8.747436,55.1519896
910290,Bjergtoften,6780,8,8.7478119,55.1520982
910291,Bjergtoften,6780,10,8.7479533,55.1520716
910292,Bjergtoften,6780,12,8.7481101,55.1520989
910293,Bjergtoften,6780,14,8.7482667,55.1521441
910294,Bjergtoften,6780,16,8.7484235,55.1521624
910295,Bjergtoften,6780,18,8.7485806,55.1521358
910296,Bjergtoften,6780,20,8.7487538,55.1520463
910297,Bjergtoften,6780,22,8.7488172,55.1519476
910298,Bjergtoften,6780,24,8.7488335,55.1518487
910299,Bjergtoften,6780,26,8.7488184,55.1517588
910300,Bjergtoften,6780,28,8.7487878,55.151633
910301,Bjergtoften,6780,30,8.7474973,55.1522324
910302,Bjergtoften,6780,32,8.747653,55.15235
910303,Bjergtoften,6780,34,8.7478256,55.1524128
910304,Bjergtoften,6780,36,8.7480138,55.1524401
910305,Bjergtoften,6780,38,8.7481866,55.1524045
910306,Bjergtoften,6780,40,8.7484378,55.1523871
910307,Bjergtoften,6780,44,8.7488462,55.152325
910308,Bjergtoften,6780,46,8.749004,55.152253
910309,Bjergtoften,6780,48,8.7490828,55.1521278
910310,Rytterfennen,6780,1,8.752272,55.151586
910311,Rytterfennen,6780,2,8.7527299,55.1510749
910312,Rytterfennen,6780,4,8.7528572,55.1507966
910313,Rytterfennen,6780,6,8.753297,55.1507166
910314,Rytterfennen,6780,8,8.7536426,55.1506634
910315,Rytterfennen,6780,14,8.7538137,55.1508974
910316,Rytterfennen,6780,16,8.7534364,55.1510224
910317,Rytterfennen,6780,18,8.753356,55.1513368
910318,Rytterfennen,6780,20,8.7538744,55.151239
910319,Rytterfennen,6780,24,8.7546898,55.1513395
910320,Rytterfennen,6780,26,8.7547344,55.1517439
910321,Rytterfennen,6780,28,8.7544524,55.1516625
910322,Rytterfennen,6780,30,8.7539035,55.1516164
910323,Rytterfennen,6780,32,8.753448,55.151625
910324,Rytterfennen,6780,34,8.7534145,55.1520288
910325,Rytterfennen,6780,36,8.7538382,55.1520207
