idx,street,postcode,housenumber,lon,lat
1157121,Nakskovvej,4913,28,11.2774992,54.914447
1157122,Nakskovvej,4913,49,11.252932,54.918064
1157123,Nakskovvej,4913,50,11.2511993,54.9182661
1157124,Nakskovvej,4913,55,11.2475051,54.9177499
1157125,Nakskovvej,4913,57,11.2466181,54.9177239
1157126,Nakskovvej,4913,60,11.2423966,54.9212166
1157127,Nakskovvej,4913,61,11.243303,54.917512
1157128,Nakskovvej,4913,64,11.2424019,54.9177037
1157129,Nakskovvej,4913,65,11.241561,54.9173054
1157130,Nakskovvej,4913,66,11.2406582,54.9179269
1157131,Nakskovvej,4913,68,11.239994,54.917875
1157132,Nakskovvej,4913,70,11.2401656,54.9173048
1157133,Nakskovvej,4913,72,11.2398355,54.9172692
1157134,Nakskovvej,4913,74,11.2396291,54.9172403
1157135,Nakskovvej,4913,76,11.2394178,54.9172198
1157136,Nakskovvej,4913,77,11.2394377,54.9169929
1157137,Nakskovvej,4913,78,11.2392289,54.9171932
1157138,Nakskovvej,4913,81,11.2381112,54.9167026
1157139,Nakskovvej,4913,84,11.2365539,54.9167717
1157140,Nakskovvej,4913,85,11.2360011,54.9164804
1157141,Nakskovvej,4913,86,11.2361571,54.9168208
1157142,Nakskovvej,4913,87,11.2357171,54.9164646
1157143,Nakskovvej,4913,88,11.235558,54.916783
1157144,Nakskovvej,4913,99,11.2284385,54.915997
1157145,Nakskovvej,4913,101,11.228141,54.9159491
1157146,Nakskovvej,4913,102,11.2275503,54.9182044
1157147,Nakskovvej,4913,107,11.2245526,54.9154443
1157148,Nakskovvej,4913,110,11.2115214,54.915776
1157149,Nakskovvej,4913,121,11.1966145,54.9045151
1157150,Nakskovvej,4913,123,11.1965769,54.9044049
1157151,Nakskovvej,4913,125,11.196598,54.9042666
1157152,Nakskovvej,4913,127,11.19659,54.9033039
1157153,Nakskovvej,4913,130,11.192475,54.903445
1157154,Nakskovvej,4913,132,11.1920637,54.903236
