idx,street,postcode,housenumber,lon,lat
43682,Slagtehusgade,1715,2,12.55963,55.669405
43683,Slagtehusgade,1715,3A,12.560377,55.669205
43684,Slagtehusgade,1715,3B,12.560463,55.669251
43685,Slagtehusgade,1715,3C,12.560545,55.669291
43686,Slagtehusgade,1715,3D,12.560632,55.669326
43687,Slagtehusgade,1715,3E,12.560729,55.669371
43688,Slagtehusgade,1715,4,12.560097,55.669082
43689,Slagtehusgade,1715,5A,12.560602,55.669066
43690,Slagtehusgade,1715,5B,12.560719,55.66912
43691,Slagtehusgade,1715,5C,12.560837,55.669174
43692,Slagtehusgade,1715,5D,12.560923,55.669212
43693,Slagtehusgade,1715,5E,12.560993,55.669244
43694,Slagtehusgade,1715,6,12.560162,55.669035
43695,Slagtehusgade,1715,7A,12.560784,55.668918
43696,Slagtehusgade,1715,7B,12.560974,55.669012
43697,Slagtehusgade,1715,7C,12.561124,55.669085
43698,Slagtehusgade,1715,7D,12.56085,55.668876
43699,Slagtehusgade,1715,9,12.560896,55.668846
43700,Slagtehusgade,1715,9B,12.560976,55.668873
43701,Slagtehusgade,1715,9C,12.561116,55.668937
43702,Slagtehusgade,1715,9D,12.561256,55.668871
43703,Slagtehusgade,1715,9E,12.561133,55.668814
43704,Slagtehusgade,1715,10,12.5602594,55.6688442
43705,Slagtehusgade,1715,11,12.56107,55.668724
43706,Slagtehusgade,1715,12,12.559885,55.668857
43707,Slagtehusgade,1715,13,12.561313,55.668548
43708,Slagtehusgade,1715,13B,12.561436,55.668562
43709,Slagtehusgade,1715,13C,12.561554,55.66838
43710,Slagtehusgade,1715,14,12.559792,55.66873
43711,Slagtehusgade,1715,15,12.561603,55.668249
43712,Slagtehusgade,1715,16A,12.560064,55.668554
43713,Slagtehusgade,1715,16B,12.560185,55.668453
43714,Slagtehusgade,1715,17,12.561493,55.668195
43715,Slagtehusgade,1715,18A,12.560558,55.668554
43716,Slagtehusgade,1715,18B,12.560486,55.668568
43717,Slagtehusgade,1715,20,12.560726,55.668608
43718,Slagtehusgade,1715,22,12.56082,55.668575
43719,Slagtehusgade,1715,24,12.560879,55.668533
43720,Slagtehusgade,1715,28,12.560999,55.668451
43721,Slagtehusgade,1715,28B,12.561052,55.66842
43722,Slagtehusgade,1715,30,12.561086,55.668397
43723,Slagtehusgade,1715,32,12.560452,55.668414
43724,Slagtehusgade,1715,32B,12.560605,55.668251
43725,Slagtehusgade,1715,34,12.56067,55.668116
43726,Slagtehusgade,1715,36,12.560912,55.667945
43727,Slagtehusgade,1715,38,12.561095,55.667817
43728,Slagtehusgade,1715,40,12.561181,55.667762
43729,Slagtehusgade,1715,42,12.561264,55.667707
43730,Slagtehusgade,1715,44,12.561376,55.667628
43731,Slagtehusgade,1715,44B,12.56152,55.667524
43732,Slagtehusgade,1715,44C,12.561865,55.667567
43733,Slagtehusgade,1715,44D,12.561811,55.667714
43734,Slagtehusgade,1715,46,12.561474,55.667949
43735,Slagtehusgade,1715,48,12.561199,55.668136
43736,Slagtehusgade,1715,50,12.561336,55.668249
