idx,street,postcode,housenumber,lon,lat
413469,Ellegårdvej,8560,15,10.673124,56.369816
413470,Ellegårdvej,8560,17,10.669329,56.367434
414669,Hallendrupvej,8560,27,10.689154,56.342807
414670,Hallendrupvej,8560,33,10.692871,56.342435
414671,Hallendrupvej,8560,35,10.693637,56.342201
414672,Hallendrupvej,8560,36,10.690058,56.342687
414673,Hallendrupvej,8560,37,10.694322,56.341983
414674,Hallendrupvej,8560,38,10.690374,56.342351
414676,Hallendrupvej,8560,40,10.69123,56.342679
416387,Kærbyvej,8560,3,10.653655,56.356253
416388,Kærbyvej,8560,5,10.652645,56.3571
416389,Kærbyvej,8560,7,10.650864,56.357514
416390,Kærbyvej,8560,9,10.649997,56.358554
416391,Kærbyvej,8560,11,10.648074,56.362175
416392,Kærbyvej,8560,13,10.647272,56.362755
416393,Kærbyvej,8560,16,10.650673,56.35959
416394,Kærbyvej,8560,17,10.642597,56.364955
416395,Kærbyvej,8560,18,10.650437,56.360079
416396,Kærbyvej,8560,19,10.641072,56.363526
416397,Kærbyvej,8560,20,10.649916,56.361098
416398,Kærbyvej,8560,22,10.658077,56.360768
416399,Kærbyvej,8560,24,10.649005,56.361957
416400,Kærbyvej,8560,26,10.646683,56.363714
416401,Kærbyvej,8560,28,10.643455,56.366481
416402,Kærbyvej,8560,30,10.641126,56.36438
417903,Ridderlundvej,8560,1,10.680293,56.346782
417904,Ridderlundvej,8560,2,10.691894,56.34291
417905,Ridderlundvej,8560,3,10.674132,56.349518
417906,Ridderlundvej,8560,7,10.664956,56.353071
417907,Ridderlundvej,8560,9,10.658506,56.354737
419004,Sundvejen,8560,12,10.648363,56.371118
419005,Sundvejen,8560,14,10.648902,56.370689
419133,Søholmhuse,8560,1,10.647545,56.366941
419134,Søholmhuse,8560,2,10.648868,56.365361
419135,Søholmhuse,8560,4,10.651257,56.365788
419136,Søholmvej,8560,1,10.650953,56.362884
419137,Søholmvej,8560,2,10.652254,56.362551
419485,Tinghøjvej,8560,8,10.677552,56.35986
419487,Tinghøjvej,8560,10,10.673906,56.359992
419490,Tinghøjvej,8560,16,10.670107,56.359332
419491,Tinghøjvej,8560,18,10.669232,56.360533
419492,Tinghøjvej,8560,20,10.664485,56.361249
419493,Tinghøjvej,8560,22,10.662265,56.355758
847642,Kanalvej,8560,79,10.7179,56.400637
847643,Kanalvej,8560,80,10.71869,56.401522
847644,Kanalvej,8560,80A,10.720526,56.405453
847645,Kanalvej,8560,81,10.712125,56.399431
847646,Kanalvej,8560,82,10.717868,56.401033
847647,Kanalvej,8560,83,10.709922,56.399138
847648,Kanalvej,8560,84,10.71346,56.400274
847649,Kanalvej,8560,85,10.712005,56.397948
847650,Kanalvej,8560,86,10.712653,56.400134
847651,Kanalvej,8560,87,10.711914,56.397943
847652,Kanalvej,8560,88,10.71222,56.400168
847653,Kanalvej,8560,90,10.710447,56.400127
847654,Kanalvej,8560,92,10.696531,56.40377
847655,Kanalvej,8560,96,10.690018,56.406458
1068229,Falkevej,8560,2,10.5464086,56.3363386
1068230,Falkevej,8560,4,10.5457298,56.3364024
1068231,Falkevej,8560,6,10.5450826,56.3361249
1068232,Falkevej,8560,8,10.5445552,56.3360897
1068233,Falkevej,8560,10,10.544069,56.336027
1068234,Falkevej,8560,12,10.5434862,56.3360462
1068235,Falkevej,8560,14,10.5429848,56.336002
1068236,Falkevej,8560,16,10.5425649,56.3359217
1068237,Falkevej,8560,18,10.5419657,56.3358866
1068238,Falkevej,8560,18A,10.5416799,56.3355564
1068239,Falkevej,8560,20,10.5419091,56.3353299
1068240,Falkevej,8560,22,10.5427489,56.3354455
1068241,Falkevej,8560,24,10.5432428,56.3354807
1068242,Falkevej,8560,26,10.5437767,56.3355339
1068243,Falkevej,8560,28,10.5442532,56.3356141
1068244,Falkevej,8560,30,10.5446987,56.3356854
1068245,Falkevej,8560,32,10.545224,56.335765
1068246,Falkevej,8560,34,10.5456772,56.3358816
1068247,Falkevej,8560,36,10.546293,56.336006
1068248,Falkevej,8560,38,10.5467583,56.33561
1068249,Falkevej,8560,40,10.5463308,56.3354676
1068250,Falkevej,8560,42,10.5457884,56.3354324
1068251,Falkevej,8560,44,10.5453673,56.3352803
1068252,Falkevej,8560,46,10.545025,56.335252
1068253,Falkevej,8560,48,10.5444456,56.3352276
1068254,Falkevej,8560,50,10.5440236,56.3351902
1068255,Falkevej,8560,52,10.5434425,56.3350674
1068256,Falkevej,8560,54,10.5429657,56.3349154
1068257,Falkevej,8560,56,10.5425049,56.3348711
1068258,Falkevej,8560,58,10.542017,56.334924
1068259,Falkevej,8560,60,10.5422455,56.3344134
1068260,Falkevej,8560,62,10.5427131,56.3344577
1068261,Falkevej,8560,64,10.543211,56.33458
1068262,Falkevej,8560,66,10.543728,56.334659
1068263,Falkevej,8560,68,10.5441369,56.3346982
1068264,Falkevej,8560,70,10.5446876,56.3347963
1068265,Falkevej,8560,72,10.5451849,56.3348923
1068266,Falkevej,8560,74,10.5458276,56.3348358
1068267,Falkevej,8560,76,10.5460785,56.3350189
1068268,Falkevej,8560,78,10.5466116,56.3351439
1068269,Falkevej,8560,80,10.547163,56.335197
1068270,Falkevej,8560,82,10.5475966,56.3348641
1068271,Falkevej,8560,84,10.5472883,56.3346131
1068272,Falkevej,8560,86,10.546818,56.334549
1068273,Falkevej,8560,88,10.5463338,56.3344617
1068274,Falkevej,8560,90,10.5458504,56.3344983
1068275,Falkevej,8560,92,10.5453237,56.3343913
1068276,Falkevej,8560,94,10.5447315,56.3344089
1068277,Falkevej,8560,96,10.5443615,56.3342758
1068278,Falkevej,8560,98,10.543892,56.33425
1068279,Falkevej,8560,100,10.5433657,56.3341514
1068280,Falkevej,8560,102,10.5428952,56.3341072
1068281,Falkevej,8560,104,10.5423154,56.3340662
1068282,Falkevej,8560,106,10.5426202,56.3335418
1068283,Falkevej,8560,108,10.5432164,56.3336218
1068284,Falkevej,8560,110,10.5436604,56.333684
1068285,Falkevej,8560,112,10.5441309,56.3338827
1068286,Falkevej,8560,114,10.5446137,56.3338624
1068287,Falkevej,8560,116,10.5451158,56.3338976
1068288,Falkevej,8560,118,10.5455688,56.3340769
1068291,Falkevej,8560,120,10.5460407,56.3341067
1068292,Falkevej,8560,122,10.5466398,56.3341968
1068295,Falkevej,8560,124,10.547078,56.334304
1068296,Falkevej,8560,126,10.5476816,56.3343791
