idx,street,postcode,housenumber,lon,lat
1290736,Strandvejen,4050,1,12.0189991,55.7838262
1290738,Strandvejen,4050,2,12.018924,55.7836648
1290740,Strandvejen,4050,2B,12.0200338,55.7839256
1290743,Strandvejen,4050,3,12.0203426,55.784677
1290745,Strandvejen,4050,4,12.0326992,55.785938
1290747,Strandvejen,4050,5,12.0202065,55.7845298
1290752,Strandvejen,4050,6,12.0348271,55.7860767
1290756,Strandvejen,4050,7,12.0292241,55.787091
1290759,Strandvejen,4050,8,12.0364371,55.7868747
1290765,Strandvejen,4050,9,12.0322148,55.7862655
1290767,Strandvejen,4050,10,12.0386478,55.7875922
1290771,Strandvejen,4050,11,12.0334911,55.7863451
1290776,Strandvejen,4050,12,12.0393764,55.787954
1290778,Strandvejen,4050,13,12.0378016,55.7878259
1290783,Strandvejen,4050,15,12.0391305,55.7882321
1290785,Strandvejen,4050,17,12.0394837,55.7885403
1290789,Strandvejen,4050,19,12.0397331,55.7886688
1290795,Strandvejen,4050,21,12.0399725,55.7888113
1290797,Strandvejen,4050,23,12.0406507,55.7890933
1290802,Strandvejen,4050,25,12.0422021,55.7893879
1290805,Strandvejen,4050,27,12.0425612,55.7895248
1290809,Strandvejen,4050,29,12.046909,55.790175
1290811,Strandvejen,4050,31,12.0473781,55.7902518
1290813,Strandvejen,4050,33,12.0476047,55.7906383
1290816,Strandvejen,4050,35,12.047832,55.7908574
1290818,Strandvejen,4050,37,12.048116,55.7912684
1290820,Strandvejen,4050,39,12.0475313,55.7912452
1290823,Strandvejen,4050,48,12.0492256,55.791344
1290825,Strandvejen,4050,50,12.049261,55.791693
1290827,Strandvejen,4050,51,12.0476249,55.7916114
1290829,Strandvejen,4050,52,12.0496729,55.7917239
1290832,Strandvejen,4050,53,12.0483993,55.7916788
1290834,Strandvejen,4050,54,12.0503322,55.791744
1290836,Strandvejen,4050,55,12.0494136,55.7921055
1290839,Strandvejen,4050,56,12.050919,55.791771
1290840,Strandvejen,4050,57,12.0494098,55.7924111
1290843,Strandvejen,4050,58,12.0515801,55.7916891
1290846,Strandvejen,4050,59,12.050051,55.7923954
1290847,Strandvejen,4050,60,12.0519219,55.7918163
1290850,Strandvejen,4050,61,12.0500545,55.792076
1290852,Strandvejen,4050,62,12.052587,55.791771
1290855,Strandvejen,4050,63,12.050627,55.792148
1290858,Strandvejen,4050,64A,12.0530782,55.7917992
1290860,Strandvejen,4050,64B,12.0539638,55.7911883
1290862,Strandvejen,4050,65,12.0505739,55.7924158
1290864,Strandvejen,4050,67,12.05107,55.792454
1290867,Strandvejen,4050,69,12.051306,55.7921506
1290869,Strandvejen,4050,71,12.0518546,55.7922137
1290871,Strandvejen,4050,73,12.0518912,55.7925194
1290874,Strandvejen,4050,74,12.0571166,55.7965488
1290875,Strandvejen,4050,75,12.0524535,55.7925429
1290878,Strandvejen,4050,77,12.052563,55.792287
1290881,Strandvejen,4050,79,12.0533972,55.7924764
1290882,Strandvejen,4050,83,12.0546826,55.7935259
1290885,Strandvejen,4050,85,12.0549915,55.7939016
1290887,Strandvejen,4050,87,12.0553166,55.7947708
1290888,Strandvejen,4050,89,12.055561,55.7951095
1290889,Strandvejen,4050,91,12.0560306,55.7955993
1290890,Strandvejen,4050,93,12.0562322,55.796463
1291844,Østergade,4050,1,12.0150712,55.7852357
1291847,Østergade,4050,2A,12.0151988,55.7846074
1291849,Østergade,4050,2B,12.0151699,55.7844944
1291851,Østergade,4050,2C,12.0151446,55.7843954
1291852,Østergade,4050,3,12.0162133,55.7842034
1291854,Østergade,4050,4A,12.0159414,55.7837802
1291856,Østergade,4050,4B,12.016052,55.783773
1291857,Østergade,4050,5,12.0166368,55.7837403
1291859,Østergade,4050,6A,12.0165328,55.7835388
1291862,Østergade,4050,6B,12.0164769,55.7834596
1291863,Østergade,4050,7A,12.0169001,55.7838884
1291864,Østergade,4050,7B,12.0167814,55.7838896
1291866,Østergade,4050,8A,12.0170222,55.7833447
1291868,Østergade,4050,8B,12.0172657,55.7833494
1291870,Østergade,4050,9,12.0171141,55.7837006
1291871,Østergade,4050,10,12.0181515,55.7835419
1291873,Østergade,4050,11,12.017505,55.783872
1291875,Østergade,4050,12,12.0184561,55.7835059
1291877,Østergade,4050,13,12.0178096,55.7837338
1291878,Østergade,4050,14,12.0183703,55.7829963
1291880,Østergade,4050,15,12.0188338,55.7833663
1291882,Østergade,4050,16,12.018329,55.7828653
1291884,Østergade,4050,17,12.0194909,55.7833207
1291886,Østergade,4050,18,12.0182519,55.7826478
1291887,Østergade,4050,19,12.0188342,55.7825437
1291889,Østergade,4050,19A,12.019102,55.78267
1291891,Østergade,4050,20,12.0180044,55.7824554
1291893,Østergade,4050,21,12.0196771,55.7823649
1291894,Østergade,4050,22,12.0179515,55.7820103
1291896,Østergade,4050,23,12.0187991,55.7823004
1291897,Østergade,4050,24,12.0179093,55.7817208
1291898,Østergade,4050,25,12.018377,55.78218
1291899,Østergade,4050,26,12.0178452,55.7808361
1291900,Østergade,4050,27A,12.019174,55.7815192
1291901,Østergade,4050,27B,12.0195047,55.781478
1291902,Østergade,4050,27C,12.0194122,55.7817169
1291903,Østergade,4050,27D,12.019201,55.781951
1291904,Østergade,4050,27E,12.0185053,55.7818451
1291905,Østergade,4050,28,12.0179254,55.7806283
1291906,Østergade,4050,29,12.0184191,55.7815303
1291907,Østergade,4050,30,12.017824,55.780379
1291908,Østergade,4050,31,12.0183235,55.7808288
1291909,Østergade,4050,32,12.017826,55.7801632
1291910,Østergade,4050,33,12.0182868,55.780524
1291911,Østergade,4050,35A,12.0183141,55.780316
1291912,Østergade,4050,35B,12.0182936,55.7802101
1291913,Østergade,4050,36,12.0180901,55.7793252
1291914,Østergade,4050,37,12.018463,55.7799289
1291915,Østergade,4050,38,12.0180794,55.7792556
1291916,Østergade,4050,39,12.0185464,55.7797292
1291917,Østergade,4050,40,12.0181059,55.7792016
1291918,Østergade,4050,41,12.0185292,55.7795392
1291919,Østergade,4050,42,12.0180972,55.7791183
1291920,Østergade,4050,43,12.0187178,55.779023
1291921,Østergade,4050,45,12.0187745,55.7788397
1291922,Østergade,4050,47,12.0188961,55.7786284
1291923,Østergade,4050,49,12.0188477,55.7784497
1293292,Vestergade,4050,1,12.0158847,55.7831685
1293293,Vestergade,4050,2A,12.0156209,55.7838474
1293296,Vestergade,4050,2B,12.014715,55.783931
1293297,Vestergade,4050,3,12.0160716,55.7828389
1293300,Vestergade,4050,4,12.0156624,55.7836748
1293302,Vestergade,4050,5A,12.0159052,55.7822779
1293303,Vestergade,4050,5B,12.0166013,55.7822996
1293306,Vestergade,4050,6,12.0156382,55.7835104
1293307,Vestergade,4050,7A,12.0160028,55.7820747
1293310,Vestergade,4050,7B,12.0160071,55.7820022
1293311,Vestergade,4050,7C,12.016107,55.782008
1293313,Vestergade,4050,7D,12.016104,55.782032
1293316,Vestergade,4050,8,12.0156032,55.7833773
1293317,Vestergade,4050,9A,12.0157669,55.7816982
1293320,Vestergade,4050,9B,12.0155303,55.7814807
1293321,Vestergade,4050,10,12.0151207,55.7834491
1293323,Vestergade,4050,11A,12.01562,55.781143
1293326,Vestergade,4050,11B,12.015372,55.781173
1293330,Vestergade,4050,11C,12.015109,55.781205
1293335,Vestergade,4050,12,12.0153573,55.7831623
1293337,Vestergade,4050,14,12.0153788,55.7828021
1293341,Vestergade,4050,16A,12.0154118,55.7825011
1293343,Vestergade,4050,16B,12.0150308,55.7823165
1293348,Vestergade,4050,18,12.0151662,55.7822353
1293350,Vestergade,4050,20,12.01551,55.782332
1293355,Vestergade,4050,22,12.0152024,55.7820572
1293359,Vestergade,4050,24,12.0154482,55.7819127
1293361,Vestergade,4050,26,12.015396,55.7818155
1293366,Vestergade,4050,28,12.0148956,55.7818073
1293368,Vestergade,4050,30,12.0148029,55.7815747
1293373,Vestergade,4050,32,12.0147511,55.7813129
1293375,Vestergade,4050,34,12.0145546,55.7811267
1293380,Vestergade,4050,36,12.0144318,55.7809206
1293383,Vestergade,4050,38,12.011546,55.780741
1294454,Koholmmosen,4050,1,12.038776,55.7859463
1294456,Koholmmosen,4050,3,12.0381429,55.7837727
1294458,Koholmmosen,4050,5,12.0370035,55.7834327
1294460,Koholmmosen,4050,7,12.0362427,55.7829582
1294463,Koholmmosen,4050,8,12.0355263,55.7843081
1294464,Koholmmosen,4050,9,12.037518,55.7830224
1294467,Koholmmosen,4050,10,12.0355396,55.7839764
1294469,Koholmmosen,4050,11,12.0360912,55.7826952
1294470,Koholmmosen,4050,12,12.03612,55.783897
1294473,Koholmmosen,4050,13,12.0361135,55.7824901
1294474,Koholmmosen,4050,14,12.0369764,55.7842669
1294477,Koholmmosen,4050,15,12.0352566,55.7821397
1294478,Koholmmosen,4050,16,12.0364465,55.783726
1294480,Koholmmosen,4050,17,12.0348148,55.7810682
1294482,Koholmmosen,4050,18,12.0359947,55.7835768
1294484,Koholmmosen,4050,19,12.0344221,55.7803903
1294485,Koholmmosen,4050,20,12.035435,55.783353
1294487,Koholmmosen,4050,22,12.0356658,55.7831528
1294490,Koholmmosen,4050,24,12.035228,55.782544
1294491,Koholmmosen,4050,26,12.0349564,55.7823541
1294494,Koholmmosen,4050,28,12.034247,55.78184
1294495,Koholmmosen,4050,30,12.0334263,55.7814576
1294496,Koholmmosen,4050,32,12.0331482,55.7810249
1294498,Koholmmosen,4050,34,12.033418,55.780606
1294500,Koholmmosen,4050,36,12.0335817,55.7801289
1294502,Koholmmosen,4050,38,12.033659,55.779571
1294504,Koholmmosen,4050,40,12.033386,55.779018
1294921,Østergaardsvej,4050,41,11.9718756,55.7918221
1294923,Østergaardsvej,4050,45,11.971226,55.79641
1296154,Rendebæk Strand,4050,1,11.8649005,55.7859341
1296158,Rendebæk Strand,4050,2A,11.8650114,55.7861659
1296161,Rendebæk Strand,4050,2B,11.8651763,55.7862777
1296164,Rendebæk Strand,4050,3,11.8649889,55.7856334
1296165,Rendebæk Strand,4050,4,11.8651892,55.7865143
1296168,Rendebæk Strand,4050,5,11.8648786,55.7853801
1296171,Rendebæk Strand,4050,6,11.8653006,55.7867638
1296174,Rendebæk Strand,4050,7,11.8647355,55.7851821
1296178,Rendebæk Strand,4050,8,11.8654002,55.786999
1296181,Rendebæk Strand,4050,9,11.8647341,55.7849467
1296184,Rendebæk Strand,4050,10,11.8651582,55.7873912
1296190,Rendebæk Strand,4050,12,11.8643379,55.7875026
1296192,Rendebæk Strand,4050,13,11.8635986,55.7850139
1296195,Rendebæk Strand,4050,14,11.8642465,55.7873411
1296198,Rendebæk Strand,4050,15,11.8637758,55.7852031
1296204,Rendebæk Strand,4050,16,11.864411,55.78712
1296207,Rendebæk Strand,4050,17,11.863869,55.785403
1296211,Rendebæk Strand,4050,18,11.8643503,55.7868718
1296213,Rendebæk Strand,4050,19,11.863931,55.7855979
1296216,Rendebæk Strand,4050,20,11.8643047,55.786692
1296219,Rendebæk Strand,4050,21,11.8640016,55.7858202
1296223,Rendebæk Strand,4050,22,11.8643241,55.78648
1296224,Rendebæk Strand,4050,23,11.8640728,55.7859883
1296230,Rendebæk Strand,4050,24,11.8641982,55.7863012
1296490,Tørslevvej,4050,60,12.017157,55.800918
1296493,Tørslevvej,4050,62,12.009988,55.797673
1296494,Tørslevvej,4050,63,12.018834,55.794944
1296496,Tørslevvej,4050,64,12.0013485,55.7979276
1296497,Tørslevvej,4050,65,12.0139507,55.7925892
1296499,Tørslevvej,4050,66,12.0146176,55.7952791
1296501,Tørslevvej,4050,67,12.013282,55.786798
1296503,Tørslevvej,4050,69,12.0149439,55.7854376
