idx,street,postcode,housenumber,lon,lat
412610,Ballevej,8444,29,10.813089,56.324753
412613,Ballevej,8444,31,10.811807,56.324041
414346,Glatvedvej,8444,1,10.857677,56.332003
414347,Glatvedvej,8444,2,10.857883,56.333169
414348,Glatvedvej,8444,3,10.855212,56.330519
414349,Glatvedvej,8444,4,10.853566,56.330835
414350,Glatvedvej,8444,5,10.857881,56.324101
414351,Glatvedvej,8444,5B,10.855615,56.323264
414352,Glatvedvej,8444,6,10.845442,56.324326
414353,Glatvedvej,8444,7,10.861196,56.323632
414354,Glatvedvej,8444,8,10.845255,56.323858
414355,Glatvedvej,8444,10,10.844332,56.32376
414356,Glatvedvej,8444,11,10.845122,56.320318
414357,Glatvedvej,8444,11B,10.844293,56.319804
414358,Glatvedvej,8444,12,10.844696,56.323323
414359,Glatvedvej,8444,13,10.845896,56.316841
414360,Glatvedvej,8444,14,10.844282,56.322621
414361,Glatvedvej,8444,15,10.844441,56.321355
414362,Glatvedvej,8444,17,10.843513,56.320694
414363,Glatvedvej,8444,18,10.844578,56.321819
414364,Glatvedvej,8444,19,10.839199,56.319011
414365,Glatvedvej,8444,20,10.843626,56.32119
414366,Glatvedvej,8444,21,10.851632,56.31389
414367,Glatvedvej,8444,22,10.835908,56.321114
414368,Glatvedvej,8444,23,10.85521,56.312387
414369,Glatvedvej,8444,25,10.856135,56.311338
414370,Glatvedvej,8444,29,10.831238,56.315641
414371,Glatvedvej,8444,30,10.831074,56.315968
414372,Glatvedvej,8444,31,10.830906,56.315613
414373,Glatvedvej,8444,32,10.83065,56.315851
414374,Glatvedvej,8444,33,10.830177,56.315513
414375,Glatvedvej,8444,34,10.829729,56.315847
414376,Glatvedvej,8444,37,10.82965,56.315417
414377,Glatvedvej,8444,40,10.828947,56.316278
414378,Glatvedvej,8444,42,10.828812,56.315838
414379,Glatvedvej,8444,43,10.828366,56.315336
414380,Glatvedvej,8444,45,10.828028,56.315281
414381,Glatvedvej,8444,46,10.827502,56.315514
414382,Glatvedvej,8444,47,10.827645,56.315319
414383,Glatvedvej,8444,48,10.827202,56.3156
414384,Glatvedvej,8444,50,10.826994,56.315449
414385,Glatvedvej,8444,52,10.826606,56.315385
414386,Glatvedvej,8444,53,10.826835,56.315161
414387,Glatvedvej,8444,54,10.826168,56.315323
414388,Glatvedvej,8444,55,10.826427,56.315098
414389,Glatvedvej,8444,56,10.825888,56.315236
414390,Glatvedvej,8444,57,10.82613,56.315072
414391,Glatvedvej,8444,59,10.825916,56.315013
414392,Glatvedvej,8444,61,10.825517,56.314946
414393,Glatvedvej,8444,63,10.825248,56.314891
414394,Glatvedvej,8444,65,10.82489,56.314826
414395,Glatvedvej,8444,67,10.824541,56.314769
414396,Glatvedvej,8444,69,10.824157,56.314707
414397,Glatvedvej,8444,71,10.823799,56.314644
414398,Glatvedvej,8444,72,10.816561,56.314655
414399,Glatvedvej,8444,73,10.823488,56.314595
414400,Glatvedvej,8444,74,10.815891,56.314583
414401,Glatvedvej,8444,75,10.82298,56.314543
414402,Glatvedvej,8444,76,10.815612,56.31464
414403,Glatvedvej,8444,77,10.817041,56.314194
414404,Glatvedvej,8444,78,10.815335,56.315006
414405,Glatvedvej,8444,80,10.814575,56.314988
414406,Glatvedvej,8444,82,10.814242,56.315104
414407,Glatvedvej,8444,83,10.815538,56.31441
414408,Glatvedvej,8444,89,10.813939,56.314365
414409,Glatvedvej,8444,91,10.814305,56.314845
414410,Glatvedvej,8444,93,10.814084,56.314965
414411,Glatvedvej,8444,95,10.813896,56.31506
414412,Glatved Strandvej,8444,1,10.828729,56.315213
414413,Glatved Strandvej,8444,3,10.828777,56.314885
414414,Glatved Strandvej,8444,4,10.828501,56.314934
414415,Glatved Strandvej,8444,5,10.828808,56.314791
414416,Glatved Strandvej,8444,7,10.82887,56.31453
414417,Glatved Strandvej,8444,8,10.828598,56.314267
414418,Glatved Strandvej,8444,11,10.828954,56.314205
414419,Glatved Strandvej,8444,13,10.829081,56.314031
414420,Glatved Strandvej,8444,15,10.829757,56.313666
414421,Glatved Strandvej,8444,16,10.829624,56.30747
414422,Glatved Strandvej,8444,20,10.834015,56.312421
414423,Glatved Strandvej,8444,21,10.842872,56.310548
414424,Glatved Strandvej,8444,22,10.83852,56.308799
414425,Glatved Strandvej,8444,23,10.845578,56.310126
414426,Glatved Strandvej,8444,24,10.84234,56.308709
