idx,street,postcode,housenumber,lon,lat
66103,Agernhaven,2750,2A,12.382201,55.748229
66104,Agernhaven,2750,2B,12.38223,55.748165
66105,Agernhaven,2750,2C,12.382259,55.748101
66106,Agernhaven,2750,2D,12.382287,55.748038
66107,Agernhaven,2750,2E,12.382333,55.74795
66108,Agernhaven,2750,2F,12.382439,55.747966
66109,Agernhaven,2750,2G,12.382546,55.747982
66110,Agernhaven,2750,2H,12.382657,55.747998
66111,Agernhaven,2750,2K,12.382625,55.748309
66112,Agernhaven,2750,6,12.38211,55.748783
66113,Agernhaven,2750,8,12.381776,55.748672
66114,Agernhaven,2750,10,12.37929,55.748066
66115,Agernhaven,2750,12,12.378587,55.747594
66116,Agernskrænten,2750,1,12.383159,55.74767
66117,Agernskrænten,2750,2,12.382451,55.747576
66118,Agernskrænten,2750,3,12.383175,55.747633
66119,Agernskrænten,2750,4,12.382468,55.747539
66120,Agernskrænten,2750,5,12.383193,55.747594
66121,Agernskrænten,2750,6,12.382485,55.7475
66122,Agernskrænten,2750,7,12.383209,55.747557
66123,Agernskrænten,2750,8,12.382507,55.747452
66124,Agernskrænten,2750,9,12.383226,55.747521
66125,Agernskrænten,2750,10,12.382527,55.747407
66126,Agernskrænten,2750,11,12.383243,55.747482
66127,Agernskrænten,2750,12,12.382551,55.747355
66128,Agernskrænten,2750,13,12.383263,55.747435
66129,Agernskrænten,2750,14,12.38236,55.747286
66130,Agernskrænten,2750,15,12.383285,55.747385
66131,Agernskrænten,2750,16,12.382294,55.747264
66132,Agernskrænten,2750,17,12.383305,55.74734
66133,Agernskrænten,2750,18,12.382225,55.747242
66134,Agernskrænten,2750,19,12.383325,55.747295
66135,Agernskrænten,2750,20,12.382148,55.747218
66136,Agernskrænten,2750,21,12.383344,55.747252
66137,Agernskrænten,2750,22,12.382068,55.747191
66138,Agernskrænten,2750,23,12.382618,55.747181
66139,Agernskrænten,2750,24,12.382039,55.74722
66140,Agernskrænten,2750,25,12.382463,55.747131
66141,Agernskrænten,2750,26,12.38201,55.747248
66142,Agernskrænten,2750,27,12.382218,55.747043
66143,Agernskrænten,2750,28,12.381929,55.747319
66144,Agernskrænten,2750,29,12.382042,55.746999
66145,Agernskrænten,2750,30,12.381892,55.747356
66146,Agernskrænten,2750,31,12.381777,55.746919
66147,Agernskrænten,2750,32,12.381854,55.747394
66148,Agernskrænten,2750,33,12.381351,55.746724
66149,Agernskrænten,2750,34,12.381819,55.747429
66150,Agernskrænten,2750,35,12.380841,55.74662
66151,Agernskrænten,2750,36,12.381993,55.747339
66152,Agernskrænten,2750,37,12.38061,55.746528
66153,Agernskrænten,2750,38,12.381956,55.747375
66154,Agernskrænten,2750,39,12.380448,55.746469
66155,Agernskrænten,2750,40,12.381919,55.747413
66156,Agernskrænten,2750,42,12.381882,55.74745
66157,Agernskrænten,2750,44,12.381592,55.747051
66158,Agernskrænten,2750,46,12.380738,55.746779
66159,Agernskrænten,2750,48,12.380224,55.746608
66160,Agernskrænten,2750,50,12.380034,55.746548
66161,Agernskrænten,2750,52,12.380203,55.746632
66162,Agernskrænten,2750,54,12.38001,55.746571
66163,Agernskrænten,2750,56,12.379889,55.746528
66164,Agernskrænten,2750,58,12.379726,55.746541
66165,Agernskrænten,2750,60,12.379548,55.746556
66166,Agernskrænten,2750,62,12.379349,55.746572
66167,Agernskrænten,2750,64,12.379556,55.746582
66168,Agernskrænten,2750,66,12.379358,55.746598
66169,Agernskrænten,2750,68,12.379339,55.746655
66170,Agernskrænten,2750,70,12.379365,55.746755
66171,Agernskrænten,2750,72,12.379387,55.74665
66172,Agernskrænten,2750,74,12.379412,55.74675
66173,Abildvænget,2750,1,12.34802,55.723821
66174,Abildvænget,2750,2,12.34752,55.72386
66175,Abildvænget,2750,3,12.347917,55.723498
66176,Abildvænget,2750,4,12.3474,55.723415
66177,Agernstrædet,2750,1,12.381063,55.747188
66178,Agernstrædet,2750,2,12.3808,55.747103
66179,Agernstrædet,2750,3,12.381179,55.747063
66180,Agernstrædet,2750,4,12.380933,55.746982
66181,Agertoften,2750,2,12.347853,55.725101
66182,Agertoften,2750,3,12.347909,55.724706
66183,Agertoften,2750,4,12.347906,55.72531
66184,Agertoften,2750,5,12.347643,55.724716
66185,Agertoften,2750,6,12.347936,55.725561
66186,Agertoften,2750,7,12.34737,55.724649
66187,Agertoften,2750,8,12.34785,55.725774
66188,Agertoften,2750,9,12.347357,55.724834
66189,Agertoften,2750,10,12.347894,55.725998
66190,Agertoften,2750,11,12.347406,55.72501
66191,Agertoften,2750,12,12.34772,55.726186
66192,Agertoften,2750,13,12.347406,55.725171
66193,Agertoften,2750,14,12.347617,55.726396
66194,Agertoften,2750,15,12.347388,55.725337
66195,Agertoften,2750,16,12.347881,55.726562
66196,Agertoften,2750,17,12.347373,55.725542
66197,Agertoften,2750,19,12.347353,55.725698
66198,Agertoften,2750,21,12.347317,55.725896
66199,Agertoften,2750,23,12.347268,55.726058
66200,Agertoften,2750,25,12.347213,55.726258
66201,Agertoften,2750,27,12.347047,55.726457
66202,Agertoften,2750,29,12.347103,55.726618
66203,Ahornsvej,2750,1,12.360489,55.731289
66204,Ahornsvej,2750,2,12.360669,55.731399
66205,Ahornsvej,2750,3,12.360637,55.731289
66206,Ahornsvej,2750,6,12.360234,55.731874
66207,Ahornsvej,2750,10,12.360659,55.732
66208,Ahornsvej,2750,12,12.360635,55.732027
66209,Ahornsvej,2750,14,12.360608,55.732056
66210,Ahornsvej,2750,16,12.360582,55.732084
66211,Ahornsvej,2750,18,12.360555,55.732112
66212,Ahornsvej,2750,20,12.360529,55.732141
66213,Ahornsvej,2750,22,12.360493,55.732169
66214,Ahornsvej,2750,24,12.360453,55.732192
66215,Ahornsvej,2750,26,12.360409,55.732217
66216,Ahornsvej,2750,28,12.36037,55.732239
66217,Ahornsvej,2750,30,12.360285,55.732169
66218,Ahornsvej,2750,32,12.360246,55.732145
66219,Ahornsvej,2750,34,12.360196,55.73211
66220,Ahornsvej,2750,36,12.360159,55.732085
66221,Ahornsvej,2750,38,12.360084,55.732031
66222,Ahornsvej,2750,40,12.360057,55.732005
66223,Ahornsvej,2750,42,12.360027,55.731976
66224,Ahornsvej,2750,44,12.359999,55.731951
66225,Ahornsvej,2750,46,12.359944,55.731892
66226,Ahornsvej,2750,48,12.359924,55.731864
66227,Ahornsvej,2750,50,12.359903,55.731832
66228,Ahornsvej,2750,52,12.359882,55.731802
66229,Ahornsvej,2750,54,12.359862,55.731773
66230,Ahornsvej,2750,56,12.359842,55.731744
66231,Axel Juels Alle,2750,3,12.376083,55.738798
66232,Axel Juels Alle,2750,4,12.375493,55.738825
66233,Axel Juels Alle,2750,5,12.376525,55.738775
66234,Axel Juels Alle,2750,6,12.375095,55.738839
66235,Axel Juels Alle,2750,7,12.376438,55.738564
66236,Axel Juels Alle,2750,8,12.374622,55.738916
66237,Axel Juels Alle,2750,9,12.376012,55.73861
66238,Axel Juels Alle,2750,10,12.374241,55.738874
66239,Axel Juels Alle,2750,11,12.375978,55.738269
66240,Axel Juels Alle,2750,12,12.373749,55.738893
66241,Axel Juels Alle,2750,13,12.376476,55.738181
66242,Axel Juels Alle,2750,14,12.373717,55.738669
66243,Axel Juels Alle,2750,15,12.376411,55.738036
66244,Axel Juels Alle,2750,16,12.374187,55.738675
66245,Axel Juels Alle,2750,17,12.37595,55.738065
66246,Axel Juels Alle,2750,18,12.374573,55.738665
66247,Axel Juels Alle,2750,19,12.375911,55.737812
66248,Axel Juels Alle,2750,20,12.374989,55.738643
66249,Axel Juels Alle,2750,21,12.376332,55.737813
66250,Axel Juels Alle,2750,22,12.375414,55.738625
66251,Axel Juels Alle,2750,23,12.376223,55.737491
66252,Axel Juels Alle,2750,24,12.375408,55.738284
66253,Axel Juels Alle,2750,25,12.375843,55.737543
66254,Axel Juels Alle,2750,26,12.374959,55.738305
66255,Axel Juels Alle,2750,27,12.375861,55.73719
66256,Axel Juels Alle,2750,28,12.374498,55.738403
66257,Axel Juels Alle,2750,29,12.376325,55.737192
66258,Axel Juels Alle,2750,30,12.374499,55.738109
66259,Axel Juels Alle,2750,31,12.37623,55.736951
66260,Axel Juels Alle,2750,32,12.374974,55.738104
66261,Axel Juels Alle,2750,33,12.375778,55.736997
66262,Axel Juels Alle,2750,34,12.375371,55.738081
66263,Axel Juels Alle,2750,35,12.375749,55.73667
66264,Axel Juels Alle,2750,36,12.375351,55.737754
66265,Axel Juels Alle,2750,37,12.376261,55.736647
66266,Axel Juels Alle,2750,38,12.374861,55.737836
