idx,street,postcode,housenumber,lon,lat
62691,Lykkesholms Alle,1902,1,12.5470087,55.6755048
62692,Lykkesholms Alle,1902,1A,12.547042,55.675661
62693,Lykkesholms Alle,1902,2A,12.547245,55.675374
62694,Lykkesholms Alle,1902,2B,12.547415,55.675622
62695,Lykkesholms Alle,1902,2C,12.5474988,55.6757726
62696,Lykkesholms Alle,1902,3A,12.547164,55.6758283
62697,Lykkesholms Alle,1902,3B,12.547233,55.676015
62698,Lykkesholms Alle,1902,3C,12.547314,55.676165
62699,Lykkesholms Alle,1902,3D,12.547386,55.676297
62700,Lykkesholms Alle,1902,4A,12.5475858,55.6759312
62701,Lykkesholms Alle,1902,4B,12.547677,55.676102
62702,Lykkesholms Alle,1902,5A,12.5474609,55.6764354
62703,Lykkesholms Alle,1902,5B,12.54748,55.676581
62704,Lykkesholms Alle,1902,5C,12.547247,55.676633
62705,Lykkesholms Alle,1902,5D,12.547031,55.676681
62706,Lykkesholms Alle,1902,6,12.547757,55.676255
62707,Lykkesholms Alle,1902,6A,12.547816,55.676364
62708,Lykkesholms Alle,1902,7,12.547467,55.676789
62709,Lykkesholms Alle,1902,7A,12.547202,55.676941
62710,Lykkesholms Alle,1902,7B,12.5470709,55.676838
62711,Lykkesholms Alle,1902,7C,12.546876,55.676882
62712,Lykkesholms Alle,1902,8,12.547833,55.676469
62713,Lykkesholms Alle,1902,9A,12.5477528,55.6769737
62714,Lykkesholms Alle,1902,9B,12.547669,55.677067
62715,Lykkesholms Alle,1902,9C,12.5474001,55.6771278
62716,Lykkesholms Alle,1902,9D,12.547146,55.677186
62717,Lykkesholms Alle,1902,10,12.548173,55.676642
62718,Lykkesholms Alle,1902,11,12.547729,55.67725
62719,Lykkesholms Alle,1902,12,12.548258,55.676745
62720,Lykkesholms Alle,1902,13,12.548068,55.677538
62721,Lykkesholms Alle,1902,14A,12.54807,55.676902
62722,Lykkesholms Alle,1902,14B,12.548134,55.677007
62723,Lykkesholms Alle,1902,14C,12.548182,55.677116
62724,Lykkesholms Alle,1902,15,12.547976,55.677694
62725,Lykkesholms Alle,1902,16A,12.5483309,55.6772562
62726,Lykkesholms Alle,1902,16B,12.548373,55.677332
62727,Lykkesholms Alle,1902,16C,12.548411,55.6774
62728,Lykkesholms Alle,1902,16D,12.548697,55.677308
62729,Lykkesholms Alle,1902,17,12.548063,55.677829
62730,Lykkesholms Alle,1902,18,12.5484901,55.6776084
62731,Lykkesholms Alle,1902,20,12.548589,55.677773
62732,Lykkesholms Alle,1902,21,12.548239,55.678096
62733,Lykkesholms Alle,1902,21B,12.547896,55.678181
62734,Lykkesholms Alle,1902,22,12.5486848,55.6779308
62735,Lykkesholms Alle,1902,23A,12.548385,55.678207
62736,Lykkesholms Alle,1902,23B,12.5480999,55.6782757
62737,Lykkesholms Alle,1902,24,12.548792,55.678104
62738,Lykkesholms Alle,1902,24A,12.548991,55.677936
62739,Lykkesholms Alle,1902,25,12.5483272,55.678367
62740,Lykkesholms Alle,1902,26,12.548896,55.678288
62741,Lykkesholms Alle,1902,28,12.549142,55.678681
62742,Lykkesholms Alle,1902,29,12.548787,55.678763
62743,Lykkesholms Alle,1902,30A,12.549535,55.678763
62744,Lykkesholms Alle,1902,30B,12.549224,55.678822
62745,Lykkesholms Alle,1902,31,12.548694,55.67896
62746,Lykkesholms Alle,1902,32,12.5493146,55.6789657
62747,Lykkesholms Alle,1902,33A,12.548966,55.679063
62748,Lykkesholms Alle,1902,33B,12.549038,55.679186
62749,Lykkesholms Alle,1902,35,12.549106,55.679293
62750,Lykkesholms Alle,1902,35A,12.549158,55.679376
62751,Lykkesholms Alle,1902,37,12.5492465,55.6795201
62752,Lykkesholms Alle,1902,38,12.549525,55.679315
802258,Lykkesholms Alle,1902,8A,12.547813,55.676431
802259,Lykkesholms Alle,1902,8B,12.548117,55.676553
802260,Lykkesholms Alle,1902,19A,12.548148,55.677968
802261,Lykkesholms Alle,1902,19B,12.547833,55.678034
2216256,Lykkesholms Alle,1902,34A,12.549643,55.679041
2216257,Lykkesholms Alle,1902,34B,12.549391,55.679092
2216258,Lykkesholms Alle,1902,36A,12.549446,55.679187
2216259,Lykkesholms Alle,1902,36B,12.54969,55.679097
