idx,street,postcode,housenumber,lon,lat
97,Langbroparken,6400,1,9.66386,54.969399
788434,Nørrekobbel,6400,1,9.7839854,54.9227624
794477,Søstjernevej,6400,1,9.7937418,54.9198505
794478,Søstjernevej,6400,2,9.7937329,54.9200333
794479,Søstjernevej,6400,3,9.7937259,54.9201771
794480,Søstjernevej,6400,4,9.7937896,54.9204928
794481,Søstjernevej,6400,5,9.7937807,54.9206308
794482,Søstjernevej,6400,6,9.7937668,54.92085
794483,Søstjernevej,6400,7,9.7929398,54.9200159
794484,Søstjernevej,6400,8,9.792932,54.920162
794485,Søstjernevej,6400,9,9.7929223,54.9203451
794486,Søstjernevej,6400,10,9.7929867,54.9206589
794487,Søstjernevej,6400,11,9.7929761,54.9208418
794488,Søstjernevej,6400,12,9.7929674,54.9209883
794489,Søgræsvej,6400,1,9.7938426,54.9211359
794490,Søgræsvej,6400,2,9.793833,54.9213186
794491,Søgræsvej,6400,3,9.7938245,54.9214832
794492,Søgræsvej,6400,4,9.7930366,54.9213006
794493,Søgræsvej,6400,5,9.7930276,54.9214496
794494,Søgræsvej,6400,6,9.7930165,54.9216313
794495,Koralvej,6400,1,9.793891,54.9217799
794496,Søgræsvej,6400,7,9.7922328,54.921466
794497,Koralvej,6400,2,9.7938832,54.9219262
794498,Søgræsvej,6400,8,9.7922253,54.9216051
794499,Koralvej,6400,3,9.7938729,54.9221092
794500,Søgræsvej,6400,9,9.792214,54.9218152
794501,Koralvej,6400,4,9.7930883,54.921945
794502,Koralvej,6400,5,9.7930797,54.9221289
794503,Koralvej,6400,6,9.7930729,54.9222745
794504,Koralvej,6400,7,9.7922814,54.9221096
794505,Koralvej,6400,8,9.7922733,54.9222933
794506,Koralvej,6400,9,9.7922671,54.9224403
794507,Konkylievej,6400,1,9.7937734,54.9224204
794508,Konkylievej,6400,2,9.7937648,54.922587
794509,Konkylievej,6400,3,9.7937566,54.9227493
794510,Konkylievej,6400,4,9.792972,54.9225579
794511,Konkylievej,6400,5,9.7929627,54.9227499
794512,Konkylievej,6400,6,9.7929538,54.9229331
794513,Ottemosevej,6400,1,9.8569614,54.9204361
794514,Tøtmosevej,6400,1,9.8559747,54.9206207
794515,Ottemosevej,6400,2,9.85731,54.9202242
794516,Tøtmosevej,6400,2,9.8557896,54.9205294
794517,Ottemosevej,6400,3,9.8574337,54.9202849
794518,Tøtmosevej,6400,3,9.8555633,54.9204742
794519,Ottemosevej,6400,4,9.8578871,54.919998
794520,Tøtmosevej,6400,4,9.8554053,54.9205822
794521,Ottemosevej,6400,5,9.8579921,54.9201348
794522,Tøtmosevej,6400,5,9.8555659,54.9207156
794523,Tøtmosevej,6400,6,9.8556897,54.9207765
794524,Ottemosevej,6400,6,9.8584448,54.9200169
794525,Ottemosevej,6400,7,9.8583391,54.9198794
794526,Tøtmosevej,6400,7,9.8555003,54.9210006
794527,Tøtmosevej,6400,8,9.8553186,54.9209518
794528,Ottemosevej,6400,8,9.8581835,54.9196779
794529,Ottemosevej,6400,9,9.8580774,54.9195406
794530,Tøtmosevej,6400,9,9.8550778,54.9208876
794531,Ottemosevej,6400,10,9.8578117,54.9194576
794532,Tøtmosevej,6400,10,9.8548971,54.9208392
794533,Ottemosevej,6400,11,9.857653,54.919498
794534,Tøtmosevej,6400,11,9.8545783,54.9210187
794535,Ottemosevej,6400,12,9.8576262,54.9196588
794536,Tøtmosevej,6400,12,9.854799,54.921078
794537,Ottemosevej,6400,13,9.8577324,54.9197961
794538,Tøtmosevej,6400,13,9.8550828,54.9211542
794539,Ottemosevej,6400,14,9.8572953,54.9198362
794540,Tøtmosevej,6400,14,9.8553045,54.9212134
794541,Ottemosevej,6400,15,9.8571715,54.9197753
794542,Ottemosevej,6400,16,9.8568818,54.9197292
794543,Tøtmosevej,6400,15,9.8546588,54.9213484
794544,Tøtmosevej,6400,16,9.8548797,54.9214075
794545,Ottemosevej,6400,17,9.8567692,54.9198054
794546,Ottemosevej,6400,18,9.8568449,54.9199978
794547,Tøtmosevej,6400,17,9.8551593,54.9214827
794548,Ottemosevej,6400,19,9.856969,54.920058
794549,Tøtmosevej,6400,18,9.8553811,54.9215416
794550,Ottemosevej,6400,20,9.856474,54.9200063
794551,Tøtmosevej,6400,19,9.8555,54.9214316
794552,Ottemosevej,6400,21,9.8563614,54.9200823
794553,Tøtmosevej,6400,20,9.855584,54.9213269
794554,Ottemosevej,6400,22,9.8565182,54.9202199
794555,Ottemosevej,6400,23,9.856642,54.9202803
794556,Tøtmosevej,6400,21,9.8556949,54.9211896
794557,Tøtmosevej,6400,22,9.8557791,54.9210848
794558,Tøtmosevej,6400,23,9.8560951,54.9208242
794559,Grønnemosevej,6400,1,9.857204,54.921173
794560,Grønnemosevej,6400,2,9.857778,54.921113
794561,Grønnemosevej,6400,3,9.856805,54.921205
794562,Grønnemosevej,6400,4,9.85797,54.921026
794563,Grønnemosevej,6400,5,9.856815,54.921469
794564,Grønnemosevej,6400,6,9.858371,54.920932
794565,Grønnemosevej,6400,7,9.856583,54.921663
794566,Grønnemosevej,6400,8,9.858762,54.920783
794567,Grønnemosevej,6400,9,9.856908,54.921863
794568,Grønnemosevej,6400,10,9.8587314,54.9210923
794569,Grønnemosevej,6400,11,9.857228,54.922039
794570,Grønnemosevej,6400,12,9.8590307,54.9212168
794571,Grønnemosevej,6400,13,9.857387,54.92229
794572,Grønnemosevej,6400,14,9.8592758,54.9213197
794573,Grønnemosevej,6400,15,9.857512,54.922617
794574,Grønnemosevej,6400,16,9.8591047,54.9216024
794575,Grønnemosevej,6400,17,9.857669,54.922817
794576,Grønnemosevej,6400,18,9.8586675,54.9215214
794577,Grønnemosevej,6400,19,9.85771,54.922986
794578,Grønnemosevej,6400,20,9.858448,54.921249
794579,Grønnemosevej,6400,21,9.858112,54.922996
794580,Grønnemosevej,6400,22,9.857602,54.921409
794581,Grønnemosevej,6400,23,9.858517,54.922951
794582,Grønnemosevej,6400,24,9.857991,54.921582
794583,Grønnemosevej,6400,25,9.8589195,54.9228386
794584,Grønnemosevej,6400,26,9.8581451,54.9217462
794585,Grønnemosevej,6400,27,9.8593651,54.9227512
794586,Grønnemosevej,6400,28,9.8576137,54.9217574
794587,Grønnemosevej,6400,29,9.85975,54.9227111
794588,Grønnemosevej,6400,30,9.857362,54.921526
794589,Grønnemosevej,6400,31,9.8602982,54.9226645
794590,Grønnemosevej,6400,33,9.8601118,54.9223453
794591,Grønnemosevej,6400,35,9.859714,54.92242
794592,Grønnemosevej,6400,37,9.859755,54.922166
794593,Grønnemosevej,6400,39,9.859551,54.921978
794594,Grønnemosevej,6400,41,9.8592678,54.9223859
794595,Grønnemosevej,6400,43,9.8591497,54.9221328
794596,Grønnemosevej,6400,45,9.8586349,54.9223286
794597,Grønnemosevej,6400,47,9.858601,54.922617
794598,Grønnemosevej,6400,49,9.858197,54.922697
794599,Grønnemosevej,6400,51,9.8579212,54.9225305
794600,Grønnemosevej,6400,53,9.857886,54.922289
813766,Bispeparken,6400,1,9.8298326,54.9300656
813767,Bispeparken,6400,2,9.8298229,54.9297307
813768,Bispeparken,6400,3,9.8299642,54.9302027
813769,Bispeparken,6400,4,9.8294471,54.929806
813770,Bispeparken,6400,5,9.830315,54.930127
813771,Bispeparken,6400,6,9.8292927,54.9296839
813772,Bispeparken,6400,7,9.8303188,54.9299712
813773,Bispeparken,6400,8,9.8296555,54.9295579
813774,Bispeparken,6400,9,9.830678,54.929877
813775,Bispeparken,6400,10,9.8293543,54.929384
813776,Bispeparken,6400,11,9.8307731,54.9300229
813777,Bispeparken,6400,12,9.8291346,54.929514
813778,Bispeparken,6400,13,9.831281,54.929736
813779,Bispeparken,6400,14,9.828943,54.9294207
813780,Bispeparken,6400,15,9.8310749,54.9299633
813781,Bispeparken,6400,16,9.8287669,54.9292711
813782,Bispeparken,6400,17,9.8314169,54.9298894
813783,Bispeparken,6400,18,9.8286099,54.9290956
